Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Berardi, D., Giallorenzo, S., Melis, A., Prandini, M., Mauro, J., Montesi, F.","57191256297;55932233200;57191056026;16553251100;35183522700;24475076500;","Microservice security: a systematic literature review",2022,"PeerJ Computer Science","7",,"e779","","",,,"10.7717/PEERJ-CS.779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124010553&doi=10.7717%2fPEERJ-CS.779&partnerID=40&md5=2da6ad89b2502afe108635947f601ea9",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85124010553
"Unlu, H., Tenekeci, S., Yildiz, A., Demirors, O.","35763295600;57340107000;36161618000;55949165100;","Event Oriented vs Object Oriented Analysis for Microservice Architecture: An Exploratory Case Study",2021,"Proceedings - 2021 47th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2021",,,,"244","251",,,"10.1109/SEAA53835.2021.00038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119209706&doi=10.1109%2fSEAA53835.2021.00038&partnerID=40&md5=25f88e4d50078a8cddbe97fd25f64808",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85119209706
"Kleehaus, M., Matthes, F.","57192105286;57193753224;","Challenges in documenting microservice-based IT landscape: A survey from an enterprise architecture management perspective",2019,"Proceedings - 2019 IEEE 23rd International Enterprise Distributed Object Computing Conference, EDOC 2019",,,"8944979","11","20",,2,"10.1109/EDOC.2019.00012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078245032&doi=10.1109%2fEDOC.2019.00012&partnerID=40&md5=04b8cc46ba90ca492be10ed6ad585da5",Conference Paper,"Final","",Scopus,2-s2.0-85078245032
"Di Francesco, P., Lago, P., Malavolta, I.","57225392023;56187491900;25823118300;","Architecting with microservices: A systematic mapping study",2019,"Journal of Systems and Software","150",,,"77","97",,68,"10.1016/j.jss.2019.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060521992&doi=10.1016%2fj.jss.2019.01.001&partnerID=40&md5=95d7beacebfc79566f4a506b7a7180ba",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85060521992
"Hamzehloui, M.S., Sahibuddin, S., Salah, K.","57203981649;35422662000;57188737829;","A systematic mapping study on microservices",2019,"Advances in Intelligent Systems and Computing","843",,,"1079","1090",,3,"10.1007/978-3-319-99007-1_100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053890030&doi=10.1007%2f978-3-319-99007-1_100&partnerID=40&md5=6c4d2a6314d3db6e919d7e201f6a613f",Conference Paper,"Final","",Scopus,2-s2.0-85053890030
